videoId,videoTitle,extracted_motion,category
ImR8juaLda0,Diliman Debate Open 2023 Open Final,"THBT postmodernism in higher education studies has done more harm than good OG: The reverse of eating (Kotaro Yoshida, Ricky Jin) OO: UNSW Leslie-Keefe & Stajic (Branko Stajic, Conna Leslie-Keefe) CG: USU B (Matthew Toomey, Charlie Ryan) CO: USU Freeland & Bakker (Isabella Freeland, Eugene Bakker) *PM did not consent to having their speech livestreamed OO won (4-1 split) https://dilimandebateopen",education
liPdIzvAEOI,Diliman Debate Open 2023 Quarterfinals,THP a world where the publishing industry did not form conglomerates OG: USU Freeland & Bakker OO: Forced out of retirement CG: USU Kuo and Price CO: Sunway being deluluman at Diliman OG and OO advanced,
PeLR85dXar0,"The Natolin European Round Robin Debating Championships Round 5, Grand Final","This House, as the Iranian government, would fulfill its obligations under the JCPOA The debate starts at 39:30 OG: Miloš Marjanović & Stefan Siridžanski OO: Aishling Kinsella & Aisling Tully CG: Antonio Fabregat & Javier de la Puerta CO: Tin Puljić & Lovro Šprem 1 CO 83 84 2 OG 82 82 3 CG 81 80 4 OO 80 80 Open Final Motion: This House prefers a world where family love was seen as unconditional as opposed to conditional",artificial intelligence;politics
0tHTgIvgB-w,The Natolin European Round Robin Debating Championships Round 1-4,TH would attend the Queer Liberation March rather than the Stonewall50 March,artificial intelligence;development;economics;philosophy
5ib1X2Se5Ss,LSE IV 2023 Open Final,that turn into worms turn back into humans,
Xoms3oYeojg,LSE IV 2023 Open Semifinals,THO Consequentialism* [*The doctrine that the morality of an action is to be judged solely by its consequences] OG and CG progressed,philosophy
kevL_Fe_WdY,Astana Open 2023 Open Final,THBT humanity should choose voluntary human extinction as opposed to continued existence,artificial intelligence;philosophy
sSKW12HTFAY,Astana Open 2023 Open Semifinals,"THPAW where religious beliefs and teachings are not codified into scripture or doctrine OG: TCD Hist PW (Naomi Panovka, Daniela Williams) OO: Zagreb PT (Paula Djaković, Tin Puljić) (progressed) CG: Oxford (B)arbie Boy and Oppenheimer Girl (Aidan Woo, Elena Radulescu) CO: Less stoicism motions than Astana 2021 (Biser Angelov, Maria Matcheva)(progressed) https://astanaopen",artificial intelligence
xQT85N4kCnw,Astana Open 2023 Open Quarterfinals,THBT progressive movements should heavily prioritize policy issues (e,artificial intelligence;criminal justice system;economics;environment;media;philosophy;politics;social movement
aK94FKyD9Dw,Astana Open 2023 ESL Final,"ESL Final - Astana Open 2023 Motion: Given the ability to accurately measure the moral track record of a person, THW criminalize having a consistently negative moral track record",philosophy
qiic5jUhpos,Astana Open 2023 ESL Semifinals,THBT progressive movements should heavily prioritize policy issues (e,criminal justice system;economics;environment;media;philosophy;politics;social movement
JuS2PIQFivM,Astana Open 2023 Round 5,"Round 5 - Room Almaty 3 Motion: In ethnically diverse countries, THW require all neighbourhoods to represent the ethnic makeup of that country",
0sI3Nokqq7g,Astana Open 2023 Round 5,"Round 5 - Room Astana 8 Motion: In ethnically diverse countries, THW require all neighbourhoods to represent the ethnic makeup of that country",
upvkScE5xAQ,Astana Open Round 4,"Round 4 Motion: In areas with high organised crime rates, THS churches expelling current gang members",artificial intelligence;criminal justice system
Eo6fhTY4jO8,Astana Open 2023 Round 3,"THBT social media companies should manipulate users’ newsfeeds in order to promote progressive content OG: Less stoicism motions than Astana 2021 (Biser Angelov, Maria Matcheva) OO: Oxford (B)arbie Boy and Oppenheimer Girl (Aidan Woo, Elena Radulescu) CG: Ryan and Tejas (Tejas Subramaniam, Ryan Lafferty) CO: Zagreb PT (Paula Djaković, Tin Puljić) https://astanaopen",artificial intelligence;media;philosophy
jZDK4L7Z2jA,Astana Open 2023 Round 2,"THBT academia should focus on social relevance over academic relevance OG: Ryan and Tejas (Tejas Subramaniam, Ryan Lafferty) OO: I'm sick of judging so decided to debate (Youngwoo Park, Haeseong Pyun) CG: TCD Hist Rehan and Ziyad (Ziyad Anwer, Rehan Haneef) CO: UFD India (Anshuman Mishra, Arnav Agrawal) https://astanaopen",philosophy
WZwRRnzYQTk,Astana Open 2023 Round 1,THO parents being heavily involved with their children's show business careers,
3MELfhiHd-s,Vietnam WSDC 2023 Grand Final - USA vs Canada,This House Prefers a world ruled by a benevolent AI programmed to maximize utility by calculating the actions most guaranteed to reduce the greatest global suffering Proposition: USA Opposition: Canada Prop won https://www,artificial intelligence;media
ekcu7wxumxg,Vietnam WSDC 2023 Semi Finals - Malaysia vs USA,This House believes that the LGBTQ+ community should actively embrace the nuclear family ideal Opp won https://www,media;philosophy;social movement
f2YZJfJe0UA,Vietnam WSDC 2023 Quarter Finals - Malaysia vs Zimbabwe,"This House believes that offensive art should not be commissioned for public spaces (Museums, Parks, Squares, etc",media;philosophy
1ncTrQib18U,Vietnam WSDC 2023 PDOs - Australia vs New Zealand,This House regrets depictions of veganism as trendy,animal right;media
FWIqj_04lfM,Vietnam WSDC 2023 Round 8 - USA vs Sri Lanka,This House believes that developing countries should drop local languages in favor of a world language as the primary medium of instruction in schools,education;media;philosophy
u7Id-KddhyE,Vietnam WSDC 2023 Round 7 - Scotland vs Malaysia,This House would replace agricultural companies with farmers' cooperatives,media
KgjZc3NXxv8,Vietnam WSDC 2023 Round 6 - Zimbabwe vs Czech Republic,This House regrets the professionalisation of sports,media;sport
zGCy-dNXCPA,Vietnam WSDC 2023 Round 5 - Japan vs Korea,This House believes that African countries should recognize the sovereignty of Somaliland,media;philosophy
7a_cEsiUcrg,Vietnam WSDC 2023 Round 4 - Canada vs Poland,This House believes that the feminist movement should promote the maximisation of individual development and empowerment over solidarity among women,development;media;philosophy;social movement
r9ZGZAEVarI,Vietnam WSDC 2023 Round 3 - Indonesia vs South Africa,This House opposes internet gurus selling their own products and services,media;technology
_AGoAYrB_HA,Vietnam WSDC 2023 Round 2 - Singapore vs Thailand,Thailand | ROUND 2 | Vietnam WSDC 2023 Proposition: Singapore Opposition: Thailand Motion: This House supports the use of the nine planetary boundaries framework,artificial intelligence;media
IUK225iFPL4,Vietnam WSDC 2023 Round 1 - Bermuda vs Poland,This house believes that the World Bank Group should adopt a one-country-one-note system,media;philosophy
EBo0lRLEIrQ,Krabi Australs 2023 Open Final - University of Sydney vs National University of Singapore,that may not conform to mainstream feminist behaviours,artificial intelligence;education;social movement
rD-jUWdPggY,Krabi Australs 2023 ESL Final - Universiti Teknologi MARA vs Indira Gandhi National Open University,"That we prefer religious teachings that emphasise the belief that human beings are born good instead of born evil Teams: Affirmative: Universiti Teknologi MARA Negative: Indira Gandhi National Open University Adjudicators: Elinor Stephenson (C), Anum Naseer, Brendon Chen, Joel law, Michael Xu, Robert Barrie, Ruth Selorme Acolatse",education;law
iil_1rVe3uY,Krabi Australs 2023 EFL Final - Islamic University of Technology vs Beihang University,that highlights and strongly grieves wastefulness,artificial intelligence;education;environment;social movement;technology
GhbSMRtSq2E,Krabi Australs 2023 Semifinals USU 1 vs USU 2,"That, as Japan's Liberal Democratic Party, we would introduce policies that significantly encourage foreign migration to Japan",
OWV72USXoxc,Krabi Australs 2023 Quarterfinals UQ 1 vs USU 1,That we support a global ban on crypto currency [crypto] Neg won,
aRe5jkcDs4g,Krabi Australs 2023 ESL Semifinals - IGNOU ARR vs UI HJJ,"That, as Prigozhin, we regret agreeing to the conditions of the deal brokered by Belarus",
-RsrNNcsOUQ,Krabi Australs 2023 Pre-Quarterfinals - Macquarie 1 vs NUS 1,That the environmental movement should heavily prioritise nuclear power in their energy advocacy,environment;philosophy;social movement
77xtZryub3A,Krabi Australs 2023 Pre-Quarterfinalis - UNSW CMB vs UTS TGM,That the environmental movement should heavily prioritise nuclear power in their energy advocacy,environment;philosophy;social movement
c3aJGBuipsI,Krabi Australs 2023 Pre-Quarterfinals - SYDNEY KJJ vs UQ NCI,That the environmental movement should heavily prioritise nuclear power in their energy advocacy,environment;philosophy;social movement
XcA2lOjVS3o,Krabi Australs 2023 Pre-Quarterfinals - Melbourne 1 vs Auckland 1,"that any World Bank project must have a percentage of that project's budget and activities directed towards climate adaptation or mitigation, regardless of its primary objective (e",artificial intelligence;conflict;education;environment;medical;philosophy
qJHuabMMm3Q,Malaysia United Asian Debating Championship 2023 Open Grand Final (UADC 2023),"OPEN GRAND FINALS Motion: Under the veil of ignorance, TH, as an individual, W choose to be born in a religious community with strong communal values as opposed to secular society",artificial intelligence;education;politics
i9iey9UIfV4,Malaysia United Asian Debating Championship 2023 Round 7 (UADC 2023),"THBT India should substantially ease restrictions on Chinese trade and investment Government: Basket (team code name) (Amy Lee, Cavan Tay, Shaun Lee) Opposition: Lady Beetle (team code name) (Mikko Vitug, David Africa, Tobi Leung) Adjudicators: Vinodhan Ⓒ, Vani Bhardwaj, Baroness Maria S",education;philosophy;politics
fH6UfAZXRIY,Malaysia United Asian Debating Championship 2023 Round 6 (UADC 2023),"THBT all large data AI repositories should be forced to pay companies for training data skimmed from the internet, even in instances where they are typically free for users (e",artificial intelligence;education;media;philosophy;politics;technology
9z9vE8se30Q,Trinity IV 2021 Grand Final,THBT Yin and Yang should be imprisoned,artificial intelligence;conflict;criminal justice system;philosophy
WhUT16hNgaU,Erasmus Rotterdam Open 2023 Grand Final,that go on in the other,conflict;international relation;politics;religion;technology
B_Sy1kUs3Pg,Uhuru Worlds 2023 Grand Final,that understands it through either framer’s intent or what the public would’ve intended at the time of the Constitution’s ratification,artificial intelligence;law
Acf290HPHVs,Uhuru Worlds 2023 Semifinals,"TH would provide significant campaign funding for congressmen and senators who score highly on bipartisan metrics in western liberal democracies Panel: William SmithⒸ , Joseph Hutchison , Nimay Sanghi , Oladi Gabisi , Yi Zoe Zhu Wang Teams: OG: Pirates of the Gulf of Guinea - Eziel Johnson, Joshua Cohen OO: TCD Hist Rehan and Ziyad - Rehan Haneef, Ziyad Anwer CG: Oxford AP - Pranav Baskar, Ahmed Hussain CO: Bucharest A - Ana Coman, Valeriu Carasel",artificial intelligence
AesMdpZ9pyM,Uhuru Worlds 2023 Quarterfinals,"TH, as WUDC Council, would ratify a constitutional amendment that allows composite teams to be eligible to break under extenuating circumstances rather than a blanket ban Teams: OG: Cornell Gaveal's biggest fans - Ram Orfanel, Eli Pallrand OO: GUU (B)reaking Free - Alyssa Mills, Isaac Gilbert CG: London School of Economics If u can't pre with alcohol, pre with vibes - Stefan Milicescu, Sachin Tissera CO: Harold and Kumar (guess which one isn't brown) - Muzamil Godil, Pranav Anand",economics;education;law;religion
dGTB4MgPK-o,LSE Open 2023 Finals,that he was murdered by Claudius in a plot to take the throne,
w-vh3L6JaPw,LSE Open 2023 Semifinals,"TH, as France, Would withdraw from its former colonies in Africa OG: LSE Protein Sheikhs (Matt Caito, Ahmed El Sammak) OO: Split me harder than The Reformation split the Church (Dylan McCarthy, Josh Kemp) CG: Wait this isn’t Masters format",artificial intelligence
WdrfJwQTK-A,LSE Open 2023 Pre-Semifinals Part2,"TH, as Job, Would keep the Faith OG: Split me harder than The Reformation split the Church (Dylan McCarthy, Josh Kemp) OO: Oxford AP (Ahmed Hussain, Pranav Baskar) CG: UCL Team Asteroid (Umar Buckus, Stella Stenou) CO: Wait this isn’t Masters format",artificial intelligence;religion
VYi0ZPM8__g,LSE Open 2023 Pre-Semifinals Part1,"TH, as Job, Would keep the Faith OG: Split me harder than The Reformation split the Church (Dylan McCarthy, Josh Kemp) OO: Oxford AP (Ahmed Hussain, Pranav Baskar) CG: UCL Team Asteroid (Umar Buckus, Stella Stenou) CO: Wait this isn’t Masters format",artificial intelligence;religion
X-YfGAuqLiA,LSE Open 2023 Round 5,"Assuming feasibility, TH Would give all animals human levels of cognition and powers of speech OG: Oxford Sksksksksksk - back in endz (Aniket Chakravorty, Zarina Bell-Gam) OO: WSDC Hong Kong (Dhruv Leekha, Jason Xiao) CG: UNWE Less equity, more wins than LSE Open 2021 (Biser Angelov, Maria Matcheva) CO: LSE Protein Sheikhs (Matt Caito, Ahmed El Sammak) 1 CO 84 84 2 OO 82 83 3 OG 78 83 4 CG 76 81",animal right;artificial intelligence
zJqukURpK44,LSE Open 2023 Round 3 Room 1,"TH Supports the continued increase of windfall taxes on energy companies who made high profits within the period of high energy prices OG: Harish and Naomi (Naomi Panovka, Harish Natarajan) OO: WSDC Hong Kong (Dhruv Leekha, Jason Xiao) CG: LSE B (Taha Iqbal, Hamza Tariq Chaudhry) CO: Tin and Miri (Tin Puljić, Miri Muntean) 1 OG 85 84 2 CG 83 84 3 CO 81 80 4 OO 79 80",economics
zCVgJrH0zLo,LSE Open 2023 Round 4,,artificial intelligence
GOhjOmif-f4,LSE Open 2023 Round 5,"Assuming feasibility, TH Would give all animals human levels of cognition and powers of speech OG: Wait this isn’t Masters format",animal right;artificial intelligence
7LpOo_YrCPo,LSE Open 2023 Round 2 Room 2,that are guaranteed to all citizens,law;philosophy;politics
4RS-9jOrmmU,LSE Open 2023 Round 2 Room 1,that are guaranteed to all citizens,artificial intelligence;law;philosophy;politics
9kamPalJAbU,LSE Open 2023 Round 3 Room 2,"TH Supports the continued increase of windfall taxes on energy companies who made high profits within the period of high energy prices OG: UPenn Operation Tax Evasion (Hasit Nanda, Maxwell Delorenzo) OO: Post-Ryan Support Group (Matt Mauriello, Madeleine Wu) CG: Wait this isn’t Masters format",artificial intelligence;economics
EAMU2jcYOW8,Ateneo IV 2023 Open Finals,"that early on into the relationship, your partner cheated on you with another person, and you have not told anyone",military
5Jf-0rAePcM,Bali Asian BP 2022 Open Final,This house prefers a world where valourised national heroes in history are morally flawed instead of morally good OG won The debate starts at 6:21 https://www,law;narrative;philosophy
VZiO6G9dRK0,Madrid WUDC 2023 Quarterfinals Room 1.13,"THBT the IMF removing all conditions on these loans, except for explicit anti corruption provisions, is preferable to the recent conditions to developing countries OG: Melbourne A OO: Sofia A CG: UNWE A CO: Harvard A OO and CO progressed https://www",artificial intelligence;economics;international relation;politics
d1_5-9ZRWMM,Madrid WUDC 2023 Quarterfinals Room 1.18,"THBT the IMF removing all conditions on these loans, except for explicit anti corruption provisions, is preferable to the recent conditions to developing countries OG: McGill A OO: Princeton B CG: TCD Phil A CO: Sydney A OO and CO progressed https://www",artificial intelligence;economics;international relation;politics
oJZK-K0W3aI,Madrid WUDC 2023 Quarterfinals Room 0.07,"THBT the IMF removing all conditions on these loans, except for explicit anti corruption provisions, is preferable to the recent conditions to developing countries OG: LSE B (Shaurya Chandravanshi [1:47] & Ted Chang [17:59]) OO: LSE A (Matt Caito [9:32] & Ahmed El Sammak [26:02]) CG: Stanford A (Vivian Zhu [34:57] & Tejas Subramaniam [51:38]) CO: Ateneo A (David Africa [42:59] & Tobi Leung [59:31]) OO and CO progressed https://www",artificial intelligence;economics;international relation;politics
rE4shgqnUfA,Madrid WUDC 2023 Quarterfinals Room 0.06,"THBT the IMF removing all conditions on these loans, except for explicit anti corruption provisions, is preferable to the recent conditions to developing countries OG: Oxford B OO: Oxford A CG: TAU A CO: Sydney B CG and CO progressed https://www",artificial intelligence;economics;international relation;politics
dQZ2GG0Tuug,Madrid WUDC 2023 Octofinals Room 1.18,THP a focus on societal factors (e,economics;narrative
hG-A8zXym9o,Madrid WUDC 2023 Octofinals Room 0.09,,
QfI-GBZfOJg,Madrid WUDC 2023 Octofinals Room 0.07,THP a focus on societal factors (e,artificial intelligence;economics;narrative
S6gTVkdFyEc,Madrid WUDC 2023 Octofinals Room 1.20,THP a focus on societal factors (e,economics;narrative
1mCp3R7zMhE,Madrid WUDC 2023 PDOs Room 1.18,THW allow democratic governments to overturn supreme court/constitutional court decisions with a simple majority in the legislature OG: LSE B OO: Queensland A CG: TAU B CO: NUS A OG and CG progressed https://www,law;politics
OXuW9wQVuZQ,Madrid WUDC 2023 PDOs Auditorium,THW allow democratic governments to overturn supreme court/constitutional court decisions with a simple majority in the legislature OG: Cornell A OO: McGill B CG: ANU A CO: Oxford A CG and CO progressed https://www,law;politics
5pe9VvHTZ3E,Madrid WUDC 2023 PDOs Room 0.07,THW allow democratic governments to overturn supreme court/constitutional court decisions with a simple majority in the legislature OG: QDU A OO: Sydney A CG: Chicago B CO: Hart House A OO and CO progressed https://www,law;politics
6CBHEdxUPA4,Madrid WUDC 2023 PDOs Room 1.14,THW allow democratic governments to overturn supreme court/constitutional court decisions with a simple majority in the legislature OG: HWS A OO: Ateneo B CG: HUJI A CO: Tokyo A OG and CO progressed https://www,law;politics
XAhTD6gLvoc,Madrid WUDC 2023 PDOs Room 1.19,THW allow democratic governments to overturn supreme court/constitutional court decisions with a simple majority in the legislature OG: McGill C OO: Harvard C CG: PUCP A CO: Zagreb A OG and CO progressed https://www,law;politics
zHmpM5ImjHM,Pre-WUDC Vienna Online Open 2022 Round 4,"THBT for students over the age of 14, art and literature curricula should actively include works with violent or sexual themes, as opposed to minimising their role in the curriculum",education;philosophy
8CCwC-tV9yE,Pre-WUDC Vienna Online Open 2022 Round 3,THS political centrism (e,artificial intelligence;politics
CHlnh6GCBSA,Pre-WUDC Vienna Online Open 2022 Round 2,THBT social movements should adopt the approach of ‘joyful militancy’,philosophy;social movement
5VcB_C52TLM,Pre-WUDC Vienna Online Open 2022 Round 1,"that enables them to select and control many of the legal rights they acquire upon marrying, and what happens when their marriage eventually ends by death or divorce",law
U2UeEtIXbJQ,Pre-WUDC Vienna Online Open 2022 ESL Semifinals,THBT Biden should lift all sanctions on Venezuela,artificial intelligence;conflict;philosophy;politics
tHwssRROw-8,Pre-WUDC Vienna Online Open 2022 Grand Final,THO established states actively curating and promoting a patriotic sense of national identity OG: Ateneo 1 OO: LSE A CG: TCD Phil A CO: Sydney B OO wins 5-0,culture
XYqMTmG2kho,Pre-WUDC Vienna Online Open 2022 Quarterfinal,THO the focus on coming out in LGBTQ media and popular culture,culture;education;media
7vBW9OQ5Fqo,Pre WUDC Vienna Online Open 2022 ESL Final,THP a world where everyone is equipped with a rePlayer,technology
WkaIFhmNZ9Y,UADC 2022 Open Grand Final,"that can be born with laws, social services and all",law;politics;technology
BjPXNr9Jf0Y,Belgrade WUDC 2022 Round 9 Room 2,This House Opposes the pressure to focus on promoting one's career at the expense of forming a family,artificial intelligence
ZjZeEWILHAc,Belgrade WUDC 2022 Round 4,This House Would prohibit companies from regulating the private behaviors of their employees in employment contracts* *e,media
j0Y4Yi6YQsk,Belgrade WUDC 2022 Open Grand Final,This House Supports a decline in global reliance on the dollar,
cl6fSukqeIg,Belgrade WUDC 2022 ESL Grand Final,"that they are going into certain death, and that they are unlikely to change the outcome of the bombing, the 10 pilots decide to take to the skies to take down as many Nazi airplanes as they can before dying",artificial intelligence
S6CAyZPSiFQ,Belgrade WUDC 2022 EFL Grand Final,"This House Prefers a world in which humans cannot experience nostalgia* *Nostalgia is a sentimental longing or wistful affection for something in the past, typically for a period or place with happy personal associations OG UGM C OO Warsaw A CG Zagreb B CO PUCP A",conflict
x1uANEWOOi0,Belgrade WUDC 2022 Semifinals Room 2,"that ""center the self"" embrace human existence and individual experiences as special",religion
h_1T2s-DfOE,Belgrade WUDC 2022 Semifinals Room 1,"that ""center the self"" embrace human existence and individual experiences as special",religion
mR6UTag8Fss,Belgrade WUDC 2022 Quarterfinals Room 1,This House Would ban the use of advanced analytics in political campaigns,artificial intelligence;education;politics
IUgHBLTz8N8,Belgrade WUDC 2022 Quarterfinals Room 2,This House Would ban the use of advanced analytics in political campaigns OG Chicago KL OO UNWE A CG BRAC A CO PEP Belgrade A OG and CG advanced Official Facebook page: https://www,artificial intelligence;politics
